id, name, address, zip_code, city, state
1, A1 Diner, 3 Bridge Street, 04345, Gardiner, ME
2, Tick Tock Diner, 281 Allwood Road, , Clifton, NJ
3, Blue Moon Cafe, 1621 Aliceanna Street, , Baltimore, MD
4, Hodad's, 5010 Newport Avenue, , Ocean Beach, CA
5, Joe's Farm Grill, 3000 E. Ray Road, , Gilbert, AZ
6, Al's Breakfast, 413 14th Avenue SE, , Minneapolis, MN
7, Psycho Suzi's, 1900 Marshall Street NE, , Minneapolis, MN
8, Franks Diner, 508 58th Street, , Kenosha, WI
9, Alpine Steakhouse, 4520 S. Tamiami Trail, , Sarasota, FL
10, Aunt Lena's Creamery CLOSED, 4040 South Arizona Avenue, , Chandler, AZ
11, Baby Blues Bar-B-Q, 444 Lincoln Boulevard, , Venice, CA
12, Barbeque King Drive-In, 2900 Wilkinson Boulevard, , Charlotte, NC
13, Bayway Diner, 2019 South Wood Avenue, , Linden, NJ
14, Hillbilly Hot Dogs, 6591 Ohio River Road, , Lesage, WV
15, Chap's Pit Beef, 5801 Pulaski Highway, , Baltimore, MD
16, Triple X Family Restaurant, 2 North Salisbury Street, , West Lafayette, IN
17, JT Farnham's Seafood and Grill, 88 Eastern Ave, 01929, South Essex, MA
18, Red Arrow Diner, 61 Lowell Street, , Manchester, NH
19, Brownstone Diner, 426 Jersey Avenue, , Jersey City, NJ
20, White Manna Hamburgers, 358 River Street, , Hackensack, NJ
21, Eveready Diner, 4189 Albany Post Road, , Hyde Park, NY
22, BBQ Shack, 1613 E. Peoria Street, 66071, Paola, KS
23, Beacon Drive-In, 255 John B. White Boulevard, , Spartanburg, SC
24, Benny's Seafood, 2500 SW 107th Avenue, , South Miami, FL
25, Big Star Diner, 305 Madison Avenue North, , Bainbridge Island, WA
26, Bobby's Hawaiian Style Restaurant, 14626 Hwy 99, 98087, Lynnwood, WA
27, BoBo Drive-In, 2300 SW 10th Avenue, 66604, Topeka, KS
28, Brint's Diner NEW OWNERS, 4834 East Lincoln Street, 67218, Wichita, KS
29, Cafe On The Route CLOSED, 1101 Military Avenue, 66713, Baxter Springs, KS
30, Central City Cafe, 529 14th Street, , West Huntington, WV
31, Charlie's Diner, 32 West Main Street, , Spencer, MA
32, Chino Bandido, 15414 North 19th Avenue, , Phoenix, AZ
33, The Coffee Cup, 512 Nevada Way, , Boulder City, NV
34, Cozy Corner, 745 North Parkway, , Memphis, TN
35, Creole Creamery, 4924 Prytania Street, , New Orleans, LA
36, Daddypops Diner, 232 North York Road, , Hatboro, PA
37, Dari-Ette Drive-In, 1440 Minnehaha Avenue, , St. Paul, MN
38, The Dining Car, 8826 Frankford Avenue, , Philadelphia, PA
39, Dot's Back Inn, 4030 Macarthur Avenue, , Richmond, VA
40, Doumars, 1919 Monticello Avenue, , Norfolk, VA
41, Duarte's Tavern, 202 Stage Road, , Pescadero, CA
42, El Indio, 3695 India Street, , San Diego, CA
43, 11th Street Diner, 1065 Washington Avenue, , Miami Beach, FL
44, Emma Jean's Holland Burger Cafe, 17143 D Street, , Victorville, CA
45, Charlie Parker's, 700 North Street, , Springfield, IL
46, Evelyn's Drive-In, 2325 Main Road (Route 77), , Tiverton, RI
47, The Fly Trap, 22950 Woodward Avenue, , Ferndale, MI
48, Four Kegs Sports Pub, 276 N Jones Blvd, 89107, Las Vegas, NV
49, The Frosted Mug CLOSED, 11541 South Pulaski Road, , Alsip, IL
50, Gaffey Street Diner, 247 North Gaffey Street, , San Pedro, CA
51, Grampa's Bakery, 17 Southwest First Street, , Dania Beach, FL
52, Grubstake Diner, 1525 Pine Street, , San Francisco, CA
53, Hackney's On Harms, 1241 Harms Road, , Glenview, IL
54, Harold's Restaurant, 602 North Limestone Street, , Gaffney, SC
55, Hightstown Diner, 151 Mercer Street, , Highstown, NJ
56, Hullabaloo Diner, 15045 FM 2154 Road, , College Station, TX
57, Iron Barley, 5510 Virginia Avenue, , St. Louis, MO
58, Jay Bee's Bar-B-Que, 15911 Avalon Boulevard, , Gardena, CA
59, Jefferson Diner, 5 Bowling Green Parkway, , Lake Hopatong, NJ
60, Joe's Cable Car CLOSED, 4320 Mission Street, , San Francisco, CA
61, Joe's Gizzard City, 120 West Main Street, , Potterville, MI
62, Keegan's Seafood Grille, 1519 Gulf Boulevard, , Indian Rocks Beach, FL
63, Kelly's Diner, 674 Broadway, , Somerville, MA
64, Krazy Jim's Blimpy Burger, 551 South Division Street, , Ann Arbor, MI
65, Leonard's BBQ, 5465 Fox Plaza Drive, , Memphis, TN
66, Leo's BBQ, 3631 North Kelley Avenue, 73111, Oklahoma City, OK
67, Little Tea Shop, 69 Monroe Avenue, , Memphis, TN
68, Los Tapatios, 1141 Old Bayshore Highway, , San Jose, CA
69, Louie Mueller Barbecue, 206 West Second Street, , Taylor, TX
70, Mac and Ernie's Roadside Eatery, Williams' Creek Depot - FM 470, 78883, Tarpley, TX
71, Mad Greek's Diner, 72112 Baker Boulevard, , Baker, CA
72, 39th Street Mama's CLOSED, 3906 Waddell Street, , Kansas City, MO
73, Maria's Taco Xpress, 2529 South Lamar Boulevard, , Austin, TX
74, Marietta Diner, 306 Cobb Pkwy S, 30060, Marietta, GA
75, Marlowe's Ribs, 4381 Elvis Presley Boulevard, , Memphis, TN
76, Matthew's Cafeteria, 2299 Main Street, , Tucker, GA
77, Matt's Big Breakfast, 801 North 1st Street, , Phoenix, AZ
78, Mike's Chili Parlor, 1447 Northwest Ballard Way, , Seattle, WA
79, Mike's City Diner, 1714 Washington Street, , Boston, MA
80, Mo Gridder's, 565 Hunts Point Avenue, , Bronx, NY
81, Monte Carlo Steakhouse, 3916 Central SW, , Albuquerque, NM
82, Mustache Bill's Diner, 8th Avenue and Broadway Street, , Barnegat Light, NJ
83, The Nook, 492 Hamline Avenue South, , St. Paul, MN
84, The Original Falafel's Drive-In, 2301 Stevens Creek Boulevard, 95128, San Jose, CA
85, Panini Pete's, 42 1/2 South Section Street, , Fairhope, AL
86, Paradise Pup, 1724 S. River Road, , Des Plaines, IL
87, Patrick's Roadhouse, 106 Entrada Drive, , Los Angeles, CA
88, Penguin Drive-In, 1921 Commonwealth Avenue, , Charlotte, NC
89, Pizza Palace, 3132 E. Magnolia Avenue, , Knoxville, TN
90, Ramona Cafe, 628 Main Street, , Ramona, CA
91, The Ritz Diner, 72 E. Mount Pleasant Avenue, , Livingston, NJ
92, Roberto's Mexican Food, 39510 N. Daisy Mountain Drive, 85086, Anthem, AZ
93, The Rock Cafe, 114 Main Street, , Stroud, OK
94, Rosie's Diner CLOSED, 4500 14 Mile Road, , Rockford, MI
95, Russian River Pub, 11829 River Road, , Forestville, CA
