id," name"," address"," zip_code"," city"," state",Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country
1," A1 Diner"," 3 Bridge Street"," 04345"," Gardiner"," ME",44.229879,-69.774471,1,rooftop,3,"Bridge St",Gardiner,ME,"Kennebec County",04345,US
2," Tick Tock Diner"," 281 Allwood Road"," "," Clifton"," NJ",40.835121,-74.146908,1,range_interpolation,281,"Allwood Rd",Clifton,NJ,"Passaic County",07012,US
3," Blue Moon Cafe"," 1621 Aliceanna Street"," "," Baltimore"," MD",39.283322,-76.594235,1,rooftop,1621,"Aliceanna St",Baltimore,MD,"Baltimore city",21231,US
4," Hodad's"," 5010 Newport Avenue"," "," Ocean Beach"," CA",29.056714,-81.294778,0.4,street_center,,"Newport Ave",Deland,FL,"Volusia County",32724,US
5," Joe's Farm Grill"," 3000 E. Ray Road"," "," Gilbert"," AZ",33.321165,-111.781447,1,range_interpolation,3000,"E Ray Rd",Gilbert,AZ,"Maricopa County",85296,US
6," Al's Breakfast"," 413 14th Avenue SE"," "," Minneapolis"," MN",44.980683,-93.235783,1,range_interpolation,413,"14th Ave SE",Minneapolis,MN,"Hennepin County",55414,US
7," Psycho Suzi's"," 1900 Marshall Street NE"," "," Minneapolis"," MN",45.007059,-93.271814,1,range_interpolation,1900,"Marshall St NE",Minneapolis,MN,"Hennepin County",55418,US
8," Franks Diner"," 508 58th Street"," "," Kenosha"," WI",42.583564,-87.817105,1,range_interpolation,508,"58th St",Kenosha,WI,"Kenosha County",53140,US
9," Alpine Steakhouse"," 4520 S. Tamiami Trail"," "," Sarasota"," FL",27.288058,-82.531008,1,rooftop,4520,"S Tamiami Trl",Sarasota,FL,"Sarasota County",34231,US
10," Aunt Lena's Creamery CLOSED"," 4040 South Arizona Avenue"," "," Chandler"," AZ",33.246624,-111.841452,1,range_interpolation,4040,"S Arizona Ave",Chandler,AZ,"Maricopa County",85248,US
11," Baby Blues Bar-B-Q"," 444 Lincoln Boulevard"," "," Venice"," CA",34.000457,-118.465244,1,rooftop,444,"Lincoln Blvd",Venice,CA,"Los Angeles County",90291,US
